127.0.0.1 [06/Jul/2020:16:53:15.540] POST /login http 200 OK 2018 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:20.754] POST /login http 302 FOUND 217 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:21.331] GET /home http 200 OK 7639 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:22.469] GET /reservations http 200 OK 18426 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:39.200] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:39.206] GET /reservations http 200 OK 19269 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:41.219] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:47.099] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:47.100] GET /logout http 302 FOUND 249 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:47.214] GET /login http 200 OK 1999 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:57:53.066] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:57:53.246] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:57:57.239] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Flogout Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:57:57.255] GET /home http 200 OK 8450 http://localhost:65010/login?next=%2Flogout Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:57:58.181] GET /reservations http 200 OK 19269 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:58:18.896] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:58:18.903] GET /reservations http 200 OK 20112 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:58:21.863] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:58:27.799] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:15:52.087] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:15:52.776] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:15:58.214] POST /login http 302 FOUND 217 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:15:58.231] GET /home http 200 OK 9262 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:15:59.275] GET /reservations http 200 OK 20112 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:16:10.015] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:16:10.036] GET /reservations http 200 OK 21007 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:16:19.981] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:16:19.987] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:17:27.337] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:17:35.095] POST /login http 302 FOUND 217 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:17:17:35.104] GET /home http 200 OK 10072 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
